,Bird Species,Count,Location,Time Period
326,Olive-backed sunbird,2,Ashy Minivet---Beside bend along Science Drive 4,0951
327,Black-naped oriole,1,Ashy Minivet---Beside bend along Science Drive 4,0951
328,Rock pigeon,0,Ashy Minivet---Beside bend along Science Drive 4,0951
329,Yellow-vented bulbul,0,Ashy Minivet---Beside bend along Science Drive 4,0951
330,Javan myna,1,Ashy Minivet---Stone benches beside field,1005
331,Olive-backed sunbird,1,Ashy Minivet---Stone benches beside field,1005
332,Black-naped oriole,0,Ashy Minivet---Stone benches beside field,1005
333,Rock pigeon,0,Ashy Minivet---Stone benches beside field,1005
334,Yellow-vented bulbul,0,Ashy Minivet---Stone benches beside field,1005
335,Javan myna,1,Ashy Minivet---Grass Patch opposite Kent Ridge MRT Station,1029
336,Olive-backed sunbird,2,Ashy Minivet---Grass Patch opposite Kent Ridge MRT Station,1029
337,Black-naped oriole,0,Ashy Minivet---Grass Patch opposite Kent Ridge MRT Station,1029
338,Rock pigeon,0,Ashy Minivet---Grass Patch opposite Kent Ridge MRT Station,1029
339,Yellow-vented bulbul,0,Ashy Minivet---Grass Patch opposite Kent Ridge MRT Station,1029
340,Javan myna,4,Ashy Minivet---Drop-off point along Medical Drive,1059
341,Olive-backed sunbird,1,Ashy Minivet---Drop-off point along Medical Drive,1059
342,Black-naped oriole,1,Ashy Minivet---Drop-off point along Medical Drive,1059
343,Rock pigeon,0,Ashy Minivet---Drop-off point along Medical Drive,1059
344,Yellow-vented bulbul,0,Ashy Minivet---Drop-off point along Medical Drive,1059
345,Javan myna,3,Ashy Minivet---Prince George's Park Residences,1128
346,Olive-backed sunbird,0,Ashy Minivet---Prince George's Park Residences,1128
347,Black-naped oriole,1,Ashy Minivet---Prince George's Park Residences,1128
348,Rock pigeon,0,Ashy Minivet---Prince George's Park Residences,1128
349,Yellow-vented bulbul,2,Ashy Minivet---Prince George's Park Residences,1128
350,Javan myna,1,Ashy Minivet---Kent Ridge Road near Institute for Clinical Sciences,1110
351,Olive-backed sunbird,0,Ashy Minivet---Kent Ridge Road near Institute for Clinical Sciences,1110
352,Black-naped oriole,0,Ashy Minivet---Kent Ridge Road near Institute for Clinical Sciences,1110
353,Rock pigeon,0,Ashy Minivet---Kent Ridge Road near Institute for Clinical Sciences,1110
354,Yellow-vented bulbul,1,Ashy Minivet---Kent Ridge Road near Institute for Clinical Sciences,1110
355,Javan myna,0,Banded Woodpecker ---Linkway between Ventus and Eusoff Hall,0758
356,Olive-backed sunbird,3,Banded Woodpecker ---Linkway between Ventus and Eusoff Hall,0758
357,Black-naped oriole,0,Banded Woodpecker ---Linkway between Ventus and Eusoff Hall,0758
358,Rock pigeon,0,Banded Woodpecker ---Linkway between Ventus and Eusoff Hall,0758
359,Yellow-vented bulbul,4,Banded Woodpecker ---Linkway between Ventus and Eusoff Hall,0758
360,Javan myna,0,"Banded Woodpecker ---Road along AS5, facing Eusoff and Temasek Halls",0825
361,Olive-backed sunbird,4,"Banded Woodpecker ---Road along AS5, facing Eusoff and Temasek Halls",0825
362,Black-naped oriole,0,"Banded Woodpecker ---Road along AS5, facing Eusoff and Temasek Halls",0825
363,Rock pigeon,0,"Banded Woodpecker ---Road along AS5, facing Eusoff and Temasek Halls",0825
364,Yellow-vented bulbul,0,"Banded Woodpecker ---Road along AS5, facing Eusoff and Temasek Halls",0825
365,Javan myna,3,Banded Woodpecker ---Driveway between the Deck and KR Guild House,0840
366,Olive-backed sunbird,1,Banded Woodpecker ---Driveway between the Deck and KR Guild House,0840
367,Black-naped oriole,0,Banded Woodpecker ---Driveway between the Deck and KR Guild House,0840
368,Rock pigeon,0,Banded Woodpecker ---Driveway between the Deck and KR Guild House,0840
369,Yellow-vented bulbul,1,Banded Woodpecker ---Driveway between the Deck and KR Guild House,0840
370,Javan myna,2,"Banded Woodpecker ---Area behind SoC, between two buildings, next to a forest",0906
371,Olive-backed sunbird,2,"Banded Woodpecker ---Area behind SoC, between two buildings, next to a forest",0906
372,Black-naped oriole,1,"Banded Woodpecker ---Area behind SoC, between two buildings, next to a forest",0906
373,Rock pigeon,0,"Banded Woodpecker ---Area behind SoC, between two buildings, next to a forest",0906
374,Yellow-vented bulbul,2,"Banded Woodpecker ---Area behind SoC, between two buildings, next to a forest",0906
375,Javan myna,0,"Banded Woodpecker ---CLB Annexe, outside Centre for Instructional Technology",0931
376,Olive-backed sunbird,7,"Banded Woodpecker ---CLB Annexe, outside Centre for Instructional Technology",0931
377,Black-naped oriole,0,"Banded Woodpecker ---CLB Annexe, outside Centre for Instructional Technology",0931
378,Rock pigeon,0,"Banded Woodpecker ---CLB Annexe, outside Centre for Instructional Technology",0931
379,Yellow-vented bulbul,3,"Banded Woodpecker ---CLB Annexe, outside Centre for Instructional Technology",0931
380,Javan myna,0,"Banded Woodpecker ---Beside Clementi Road, area beside the Ebra crossing",0835
381,Olive-backed sunbird,0,"Banded Woodpecker ---Beside Clementi Road, area beside the Ebra crossing",0835
382,Black-naped oriole,0,"Banded Woodpecker ---Beside Clementi Road, area beside the Ebra crossing",0835
383,Rock pigeon,0,"Banded Woodpecker ---Beside Clementi Road, area beside the Ebra crossing",0835
384,Yellow-vented bulbul,1,"Banded Woodpecker ---Beside Clementi Road, area beside the Ebra crossing",0835
385,Javan myna,8,Banded Woodpecker ---Area beside the parking machine bar.,0900
386,Olive-backed sunbird,0,Banded Woodpecker ---Area beside the parking machine bar.,0900
387,Black-naped oriole,0,Banded Woodpecker ---Area beside the parking machine bar.,0900
388,Rock pigeon,0,Banded Woodpecker ---Area beside the parking machine bar.,0900
389,Yellow-vented bulbul,5,Banded Woodpecker ---Area beside the parking machine bar.,0900
390,Javan myna,1,Banded Woodpecker ---Outside U-town Starbucks,0915
391,Olive-backed sunbird,0,Banded Woodpecker ---Outside U-town Starbucks,0915
392,Black-naped oriole,0,Banded Woodpecker ---Outside U-town Starbucks,0915
393,Rock pigeon,0,Banded Woodpecker ---Outside U-town Starbucks,0915
394,Yellow-vented bulbul,1,Banded Woodpecker ---Outside U-town Starbucks,0915
395,Javan myna,1,Banded Woodpecker ---Beside UTR,0937
396,Olive-backed sunbird,0,Banded Woodpecker ---Beside UTR,0937
397,Black-naped oriole,0,Banded Woodpecker ---Beside UTR,0937
398,Rock pigeon,0,Banded Woodpecker ---Beside UTR,0937
399,Yellow-vented bulbul,0,Banded Woodpecker ---Beside UTR,0937
400,Javan myna,0,Banded Woodpecker ---Beside Tembusu college,0949
401,Olive-backed sunbird,0,Banded Woodpecker ---Beside Tembusu college,0949
402,Black-naped oriole,0,Banded Woodpecker ---Beside Tembusu college,0949
403,Rock pigeon,0,Banded Woodpecker ---Beside Tembusu college,0949
404,Yellow-vented bulbul,4,Banded Woodpecker ---Beside Tembusu college,0949
405,Javan myna,3,"Spotted Wood Owl---In front of RC4, closest to the University Town bus stop",0817
406,Olive-backed sunbird,1,"Spotted Wood Owl---In front of RC4, closest to the University Town bus stop",0817
407,Black-naped oriole,0,"Spotted Wood Owl---In front of RC4, closest to the University Town bus stop",0817
408,Rock pigeon,0,"Spotted Wood Owl---In front of RC4, closest to the University Town bus stop",0817
409,Yellow-vented bulbul,1,"Spotted Wood Owl---In front of RC4, closest to the University Town bus stop",0817
410,Javan myna,2,Spotted Wood Owl---In the middle of the Yale-NUS garden,0834
411,Olive-backed sunbird,0,Spotted Wood Owl---In the middle of the Yale-NUS garden,0834
412,Black-naped oriole,0,Spotted Wood Owl---In the middle of the Yale-NUS garden,0834
413,Rock pigeon,0,Spotted Wood Owl---In the middle of the Yale-NUS garden,0834
414,Yellow-vented bulbul,2,Spotted Wood Owl---In the middle of the Yale-NUS garden,0834
415,Javan myna,3,Spotted Wood Owl---On the road opposite Yale-Nus Blk 28,0850
416,Olive-backed sunbird,0,Spotted Wood Owl---On the road opposite Yale-Nus Blk 28,0850
417,Black-naped oriole,0,Spotted Wood Owl---On the road opposite Yale-Nus Blk 28,0850
418,Rock pigeon,0,Spotted Wood Owl---On the road opposite Yale-Nus Blk 28,0850
419,Yellow-vented bulbul,0,Spotted Wood Owl---On the road opposite Yale-Nus Blk 28,0850
420,Javan myna,7,Spotted Wood Owl---In the middle of Town Green,0914
421,Olive-backed sunbird,0,Spotted Wood Owl---In the middle of Town Green,0914
422,Black-naped oriole,0,Spotted Wood Owl---In the middle of Town Green,0914
423,Rock pigeon,0,Spotted Wood Owl---In the middle of Town Green,0914
424,Yellow-vented bulbul,0,Spotted Wood Owl---In the middle of Town Green,0914
425,Javan myna,0,Spotted Wood Owl---36 College Avenue East next to North Tower of the UTown Residence,0936
426,Olive-backed sunbird,0,Spotted Wood Owl---36 College Avenue East next to North Tower of the UTown Residence,0936
427,Black-naped oriole,0,Spotted Wood Owl---36 College Avenue East next to North Tower of the UTown Residence,0936
428,Rock pigeon,0,Spotted Wood Owl---36 College Avenue East next to North Tower of the UTown Residence,0936
429,Yellow-vented bulbul,2,Spotted Wood Owl---36 College Avenue East next to North Tower of the UTown Residence,0936
430,Javan myna,2,"Spotted Wood Owl---12 Science Drive 4, beside University Hall",1027
431,Olive-backed sunbird,0,"Spotted Wood Owl---12 Science Drive 4, beside University Hall",1027
432,Black-naped oriole,0,"Spotted Wood Owl---12 Science Drive 4, beside University Hall",1027
433,Rock pigeon,0,"Spotted Wood Owl---12 Science Drive 4, beside University Hall",1027
434,Yellow-vented bulbul,0,"Spotted Wood Owl---12 Science Drive 4, beside University Hall",1027
435,Javan myna,2,Spotted Wood Owl---Between the middle of the track and field at FoS,1047
436,Olive-backed sunbird,0,Spotted Wood Owl---Between the middle of the track and field at FoS,1047
437,Black-naped oriole,0,Spotted Wood Owl---Between the middle of the track and field at FoS,1047
438,Rock pigeon,0,Spotted Wood Owl---Between the middle of the track and field at FoS,1047
439,Yellow-vented bulbul,0,Spotted Wood Owl---Between the middle of the track and field at FoS,1047
440,Javan myna,4,"Spotted Wood Owl---11 Lower Kent Ridge Rd, CP10 Carpark near Faculty of Dentistry",1135
441,Olive-backed sunbird,0,"Spotted Wood Owl---11 Lower Kent Ridge Rd, CP10 Carpark near Faculty of Dentistry",1135
442,Black-naped oriole,0,"Spotted Wood Owl---11 Lower Kent Ridge Rd, CP10 Carpark near Faculty of Dentistry",1135
443,Rock pigeon,0,"Spotted Wood Owl---11 Lower Kent Ridge Rd, CP10 Carpark near Faculty of Dentistry",1135
444,Yellow-vented bulbul,1,"Spotted Wood Owl---11 Lower Kent Ridge Rd, CP10 Carpark near Faculty of Dentistry",1135
445,Javan myna,2,"Spotted Wood Owl---27 Medical Dr, Department of Anatomy drop-off point",1201
446,Olive-backed sunbird,0,"Spotted Wood Owl---27 Medical Dr, Department of Anatomy drop-off point",1201
447,Black-naped oriole,0,"Spotted Wood Owl---27 Medical Dr, Department of Anatomy drop-off point",1201
448,Rock pigeon,0,"Spotted Wood Owl---27 Medical Dr, Department of Anatomy drop-off point",1201
449,Yellow-vented bulbul,0,"Spotted Wood Owl---27 Medical Dr, Department of Anatomy drop-off point",1201
450,Javan myna,7,Spotted Wood Owl---In front of Singapore Wind Tunnel Facility (restricted area),1028
451,Olive-backed sunbird,0,Spotted Wood Owl---In front of Singapore Wind Tunnel Facility (restricted area),1028
452,Black-naped oriole,1,Spotted Wood Owl---In front of Singapore Wind Tunnel Facility (restricted area),1028
453,Rock pigeon,0,Spotted Wood Owl---In front of Singapore Wind Tunnel Facility (restricted area),1028
454,Yellow-vented bulbul,1,Spotted Wood Owl---In front of Singapore Wind Tunnel Facility (restricted area),1028
455,Javan myna,1,Spotted Wood Owl---Engineering block,1104
456,Olive-backed sunbird,2,Spotted Wood Owl---Engineering block,1104
457,Black-naped oriole,0,Spotted Wood Owl---Engineering block,1104
458,Rock pigeon,0,Spotted Wood Owl---Engineering block,1104
459,Yellow-vented bulbul,0,Spotted Wood Owl---Engineering block,1104
460,Javan myna,0,Spotted Wood Owl---College Link (behind College Link Road),1126
461,Olive-backed sunbird,0,Spotted Wood Owl---College Link (behind College Link Road),1126
462,Black-naped oriole,3,Spotted Wood Owl---College Link (behind College Link Road),1126
463,Rock pigeon,3,Spotted Wood Owl---College Link (behind College Link Road),1126
464,Yellow-vented bulbul,1,Spotted Wood Owl---College Link (behind College Link Road),1126
465,Javan myna,0,Spotted Wood Owl---Besides University Cultural Centre (UCC),1050
466,Olive-backed sunbird,3,Spotted Wood Owl---Besides University Cultural Centre (UCC),1050
467,Black-naped oriole,0,Spotted Wood Owl---Besides University Cultural Centre (UCC),1050
468,Rock pigeon,0,Spotted Wood Owl---Besides University Cultural Centre (UCC),1050
469,Yellow-vented bulbul,0,Spotted Wood Owl---Besides University Cultural Centre (UCC),1050
470,Javan myna,4,"Brahminy Kite---30ev, Behind SRC",1053
471,Olive-backed sunbird,1,"Brahminy Kite---30ev, Behind SRC",1053
472,Black-naped oriole,2,"Brahminy Kite---30ev, Behind SRC",1053
473,Rock pigeon,0,"Brahminy Kite---30ev, Behind SRC",1053
474,Yellow-vented bulbul,9,"Brahminy Kite---30ev, Behind SRC",1053
475,Javan myna,1,Brahminy Kite---Beside Central Library Bus Stop,0903
476,Olive-backed sunbird,2,Brahminy Kite---Beside Central Library Bus Stop,0903
477,Black-naped oriole,0,Brahminy Kite---Beside Central Library Bus Stop,0903
478,Rock pigeon,0,Brahminy Kite---Beside Central Library Bus Stop,0903
479,Yellow-vented bulbul,2,Brahminy Kite---Beside Central Library Bus Stop,0903
480,Javan myna,3,"Brahminy Kite---Research Link, Behind Central Library",0920
481,Olive-backed sunbird,3,"Brahminy Kite---Research Link, Behind Central Library",0920
482,Black-naped oriole,1,"Brahminy Kite---Research Link, Behind Central Library",0920
483,Rock pigeon,0,"Brahminy Kite---Research Link, Behind Central Library",0920
484,Yellow-vented bulbul,7,"Brahminy Kite---Research Link, Behind Central Library",0920
485,Javan myna,2,"Brahminy Kite---In the middle of YIH and CLB bus stop, opposite Engineering E4",0939
486,Olive-backed sunbird,2,"Brahminy Kite---In the middle of YIH and CLB bus stop, opposite Engineering E4",0939
487,Black-naped oriole,0,"Brahminy Kite---In the middle of YIH and CLB bus stop, opposite Engineering E4",0939
488,Rock pigeon,0,"Brahminy Kite---In the middle of YIH and CLB bus stop, opposite Engineering E4",0939
489,Yellow-vented bulbul,2,"Brahminy Kite---In the middle of YIH and CLB bus stop, opposite Engineering E4",0939
490,Javan myna,0,Brahminy Kite---Beside Create Building,1003
491,Olive-backed sunbird,5,Brahminy Kite---Beside Create Building,1003
492,Black-naped oriole,0,Brahminy Kite---Beside Create Building,1003
493,Rock pigeon,0,Brahminy Kite---Beside Create Building,1003
494,Yellow-vented bulbul,2,Brahminy Kite---Beside Create Building,1003
495,Javan myna,3,Brahminy Kite---Beside starbucks,1020
496,Olive-backed sunbird,2,Brahminy Kite---Beside starbucks,1020
497,Black-naped oriole,0,Brahminy Kite---Beside starbucks,1020
498,Rock pigeon,0,Brahminy Kite---Beside starbucks,1020
499,Yellow-vented bulbul,8,Brahminy Kite---Beside starbucks,1020
500,Javan myna,0,Brahminy Kite---Behind Tembusu,1037
501,Olive-backed sunbird,0,Brahminy Kite---Behind Tembusu,1037
502,Black-naped oriole,0,Brahminy Kite---Behind Tembusu,1037
503,Rock pigeon,0,Brahminy Kite---Behind Tembusu,1037
504,Yellow-vented bulbul,5,Brahminy Kite---Behind Tembusu,1037
505,Javan myna,1,"Brahminy Kite---20m ev, Up slope to the FOS carpark beside University Hall",0807
506,Olive-backed sunbird,3,"Brahminy Kite---20m ev, Up slope to the FOS carpark beside University Hall",0807
507,Black-naped oriole,0,"Brahminy Kite---20m ev, Up slope to the FOS carpark beside University Hall",0807
508,Rock pigeon,0,"Brahminy Kite---20m ev, Up slope to the FOS carpark beside University Hall",0807
509,Yellow-vented bulbul,2,"Brahminy Kite---20m ev, Up slope to the FOS carpark beside University Hall",0807
510,Javan myna,0,"Brahminy Kite---20m ev, On green field, beside running track",0821
511,Olive-backed sunbird,1,"Brahminy Kite---20m ev, On green field, beside running track",0821
512,Black-naped oriole,0,"Brahminy Kite---20m ev, On green field, beside running track",0821
513,Rock pigeon,0,"Brahminy Kite---20m ev, On green field, beside running track",0821
514,Yellow-vented bulbul,5,"Brahminy Kite---20m ev, On green field, beside running track",0821
515,Javan myna,0,"Brahminy Kite---20m ev, On green field, beside running track and construction yard",0835
516,Olive-backed sunbird,0,"Brahminy Kite---20m ev, On green field, beside running track and construction yard",0835
517,Black-naped oriole,0,"Brahminy Kite---20m ev, On green field, beside running track and construction yard",0835
518,Rock pigeon,0,"Brahminy Kite---20m ev, On green field, beside running track and construction yard",0835
519,Yellow-vented bulbul,4,"Brahminy Kite---20m ev, On green field, beside running track and construction yard",0835
520,Javan myna,3,"Brahminy Kite---20m ev, Next to S17, end of carpark, next to S17 bus stop",0900
521,Olive-backed sunbird,0,"Brahminy Kite---20m ev, Next to S17, end of carpark, next to S17 bus stop",0900
522,Black-naped oriole,0,"Brahminy Kite---20m ev, Next to S17, end of carpark, next to S17 bus stop",0900
523,Rock pigeon,0,"Brahminy Kite---20m ev, Next to S17, end of carpark, next to S17 bus stop",0900
524,Yellow-vented bulbul,0,"Brahminy Kite---20m ev, Next to S17, end of carpark, next to S17 bus stop",0900
525,Javan myna,1,"Brahminy Kite---30m ev, MD02 Loading Bay, Ventation area. In between MD02 and Carpark",0935
526,Olive-backed sunbird,0,"Brahminy Kite---30m ev, MD02 Loading Bay, Ventation area. In between MD02 and Carpark",0935
527,Black-naped oriole,0,"Brahminy Kite---30m ev, MD02 Loading Bay, Ventation area. In between MD02 and Carpark",0935
528,Rock pigeon,0,"Brahminy Kite---30m ev, MD02 Loading Bay, Ventation area. In between MD02 and Carpark",0935
529,Yellow-vented bulbul,0,"Brahminy Kite---30m ev, MD02 Loading Bay, Ventation area. In between MD02 and Carpark",0935
530,Javan myna,3,"Brahminy Kite---30ev, Utown Green",1014
531,Olive-backed sunbird,0,"Brahminy Kite---30ev, Utown Green",1014
532,Black-naped oriole,0,"Brahminy Kite---30ev, Utown Green",1014
533,Rock pigeon,0,"Brahminy Kite---30ev, Utown Green",1014
534,Yellow-vented bulbul,1,"Brahminy Kite---30ev, Utown Green",1014
535,Javan myna,2,"Brahminy Kite---30ev, CAPT Dining Hall exit",1042
536,Olive-backed sunbird,0,"Brahminy Kite---30ev, CAPT Dining Hall exit",1042
537,Black-naped oriole,0,"Brahminy Kite---30ev, CAPT Dining Hall exit",1042
538,Rock pigeon,0,"Brahminy Kite---30ev, CAPT Dining Hall exit",1042
539,Yellow-vented bulbul,2,"Brahminy Kite---30ev, CAPT Dining Hall exit",1042
540,Javan myna,5,"Brahminy Kite---Prince George's Park, 20m from Busstop",0905
541,Olive-backed sunbird,0,"Brahminy Kite---Prince George's Park, 20m from Busstop",0905
542,Black-naped oriole,5,"Brahminy Kite---Prince George's Park, 20m from Busstop",0905
543,Rock pigeon,0,"Brahminy Kite---Prince George's Park, 20m from Busstop",0905
544,Yellow-vented bulbul,0,"Brahminy Kite---Prince George's Park, 20m from Busstop",0905
545,Javan myna,7,"Brahminy Kite---Prince George's Park, Main Road",0924
546,Olive-backed sunbird,0,"Brahminy Kite---Prince George's Park, Main Road",0924
547,Black-naped oriole,0,"Brahminy Kite---Prince George's Park, Main Road",0924
548,Rock pigeon,0,"Brahminy Kite---Prince George's Park, Main Road",0924
549,Yellow-vented bulbul,0,"Brahminy Kite---Prince George's Park, Main Road",0924
550,Javan myna,3,"Brahminy Kite---Prince George's Park, At the bend",0940
551,Olive-backed sunbird,0,"Brahminy Kite---Prince George's Park, At the bend",0940
552,Black-naped oriole,0,"Brahminy Kite---Prince George's Park, At the bend",0940
553,Rock pigeon,0,"Brahminy Kite---Prince George's Park, At the bend",0940
554,Yellow-vented bulbul,0,"Brahminy Kite---Prince George's Park, At the bend",0940
555,Javan myna,1,"Brahminy Kite---30 Heng Mui Keng Terrace, Besides Sheares Hall",1000
556,Olive-backed sunbird,1,"Brahminy Kite---30 Heng Mui Keng Terrace, Besides Sheares Hall",1000
557,Black-naped oriole,0,"Brahminy Kite---30 Heng Mui Keng Terrace, Besides Sheares Hall",1000
558,Rock pigeon,0,"Brahminy Kite---30 Heng Mui Keng Terrace, Besides Sheares Hall",1000
559,Yellow-vented bulbul,0,"Brahminy Kite---30 Heng Mui Keng Terrace, Besides Sheares Hall",1000
560,Javan myna,0,"Brahminy Kite---College Link Rd, Roundabout Loop",1020
561,Olive-backed sunbird,1,"Brahminy Kite---College Link Rd, Roundabout Loop",1020
562,Black-naped oriole,2,"Brahminy Kite---College Link Rd, Roundabout Loop",1020
563,Rock pigeon,0,"Brahminy Kite---College Link Rd, Roundabout Loop",1020
564,Yellow-vented bulbul,1,"Brahminy Kite---College Link Rd, Roundabout Loop",1020
565,Javan myna,1,"Brahminy Kite---36 College Ave E, Singapore 138600, Behind UTR",1040
566,Olive-backed sunbird,0,"Brahminy Kite---36 College Ave E, Singapore 138600, Behind UTR",1040
567,Black-naped oriole,0,"Brahminy Kite---36 College Ave E, Singapore 138600, Behind UTR",1040
568,Rock pigeon,0,"Brahminy Kite---36 College Ave E, Singapore 138600, Behind UTR",1040
569,Yellow-vented bulbul,4,"Brahminy Kite---36 College Ave E, Singapore 138600, Behind UTR",1040
570,Javan myna,2,"Ashy Minivet---Left of bus stop University Town, ID 19059 College Avenue West",0811
571,Olive-backed sunbird,1,"Ashy Minivet---Left of bus stop University Town, ID 19059 College Avenue West",0811
572,Black-naped oriole,1,"Ashy Minivet---Left of bus stop University Town, ID 19059 College Avenue West",0811
573,Rock pigeon,0,"Ashy Minivet---Left of bus stop University Town, ID 19059 College Avenue West",0811
574,Yellow-vented bulbul,1,"Ashy Minivet---Left of bus stop University Town, ID 19059 College Avenue West",0811
575,Javan myna,1,"Ashy Minivet---Right of bus stop Aft Dover Road, ID 17099, College Avenue West",0811
576,Olive-backed sunbird,0,"Ashy Minivet---Right of bus stop Aft Dover Road, ID 17099, College Avenue West",0811
577,Black-naped oriole,1,"Ashy Minivet---Right of bus stop Aft Dover Road, ID 17099, College Avenue West",0811
578,Rock pigeon,0,"Ashy Minivet---Right of bus stop Aft Dover Road, ID 17099, College Avenue West",0811
579,Yellow-vented bulbul,0,"Ashy Minivet---Right of bus stop Aft Dover Road, ID 17099, College Avenue West",0811
580,Javan myna,2,Ashy Minivet---300m walk towards Clementi Road from Stephen Riady Center,0828
581,Olive-backed sunbird,0,Ashy Minivet---300m walk towards Clementi Road from Stephen Riady Center,0828
582,Black-naped oriole,1,Ashy Minivet---300m walk towards Clementi Road from Stephen Riady Center,0828
583,Rock pigeon,2,Ashy Minivet---300m walk towards Clementi Road from Stephen Riady Center,0828
584,Yellow-vented bulbul,0,Ashy Minivet---300m walk towards Clementi Road from Stephen Riady Center,0828
585,Javan myna,1,Ashy Minivet---Outside Sapore's Italiano,0846
586,Olive-backed sunbird,0,Ashy Minivet---Outside Sapore's Italiano,0846
587,Black-naped oriole,0,Ashy Minivet---Outside Sapore's Italiano,0846
588,Rock pigeon,0,Ashy Minivet---Outside Sapore's Italiano,0846
589,Yellow-vented bulbul,0,Ashy Minivet---Outside Sapore's Italiano,0846
590,Javan myna,6,Ashy Minivet---Edge of Town Green near Pizza Hut,0828
591,Olive-backed sunbird,2,Ashy Minivet---Edge of Town Green near Pizza Hut,0828
592,Black-naped oriole,0,Ashy Minivet---Edge of Town Green near Pizza Hut,0828
593,Rock pigeon,0,Ashy Minivet---Edge of Town Green near Pizza Hut,0828
594,Yellow-vented bulbul,1,Ashy Minivet---Edge of Town Green near Pizza Hut,0828
595,Javan myna,3,Ashy Minivet---Road/Parking space behind Create Tower,0912
596,Olive-backed sunbird,0,Ashy Minivet---Road/Parking space behind Create Tower,0912
597,Black-naped oriole,0,Ashy Minivet---Road/Parking space behind Create Tower,0912
598,Rock pigeon,0,Ashy Minivet---Road/Parking space behind Create Tower,0912
599,Yellow-vented bulbul,0,Ashy Minivet---Road/Parking space behind Create Tower,0912
600,Javan myna,4,"Ashy Minivet---30 College Ave E, Singapore 138599",0940
601,Olive-backed sunbird,0,"Ashy Minivet---30 College Ave E, Singapore 138599",0940
602,Black-naped oriole,0,"Ashy Minivet---30 College Ave E, Singapore 138599",0940
603,Rock pigeon,0,"Ashy Minivet---30 College Ave E, Singapore 138599",0940
604,Yellow-vented bulbul,3,"Ashy Minivet---30 College Ave E, Singapore 138599",0940
605,Javan myna,1,Ashy Minivet---22 College Ave East,0940
606,Olive-backed sunbird,0,Ashy Minivet---22 College Ave East,0940
607,Black-naped oriole,0,Ashy Minivet---22 College Ave East,0940
608,Rock pigeon,0,Ashy Minivet---22 College Ave East,0940
609,Yellow-vented bulbul,3,Ashy Minivet---22 College Ave East,0940
610,Javan myna,2,"Ashy Minivet---18 College Ave E, Singapore 138593",1001
611,Olive-backed sunbird,0,"Ashy Minivet---18 College Ave E, Singapore 138593",1001
612,Black-naped oriole,1,"Ashy Minivet---18 College Ave E, Singapore 138593",1001
